Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=0.5; um
0,0.3310,9.863054404429E+01,5.861205822652E+01,1.898243295220E+01
0,0.3320,9.853334804867E+01,5.820273522199E+01,1.892525694934E+01
0,0.3330,9.843673550856E+01,5.779587061388E+01,1.886842434588E+01
0,0.3340,9.834070118524E+01,5.739144232079E+01,1.881193205742E+01
0,0.3350,9.824523990252E+01,5.698942852497E+01,1.875577703636E+01
0,0.3360,9.815034654589E+01,5.658980766841E+01,1.869995627137E+01
0,0.3370,9.805601606139E+01,5.619255844899E+01,1.864446678688E+01
0,0.3380,9.796224345498E+01,5.579765981666E+01,1.858930564254E+01
0,0.3390,9.786902379152E+01,5.540509096977E+01,1.853446993268E+01
0,0.3400,9.777635219390E+01,5.501483135139E+01,1.847995678582E+01
0,0.3410,9.784480758164E+01,5.478163705799E+01,1.842576336416E+01
0,0.3420,9.791286250928E+01,5.454980647391E+01,1.837188686310E+01
0,0.3430,9.798052048081E+01,5.431932767166E+01,1.831832451073E+01
0,0.3440,9.804778495937E+01,5.409018886245E+01,1.826507356738E+01
0,0.3450,9.811465936792E+01,5.386237839416E+01,1.821213132516E+01
0,0.3460,9.818114708997E+01,5.363588474938E+01,1.815949510746E+01
0,0.3470,9.824725146989E+01,5.341069654348E+01,1.810716226853E+01
0,0.3480,9.831297581353E+01,5.318680252267E+01,1.805513019304E+01
0,0.3490,9.837832338908E+01,5.296419156215E+01,1.800339629564E+01
0,0.3500,9.844329742710E+01,5.274285266427E+01,1.795195802051E+01
0,0.3510,9.911577713988E+01,5.264271040272E+01,1.790081284097E+01
0,0.3520,9.978442201104E+01,5.254313713129E+01,1.784995825903E+01
0,0.3530,1.004492649957E+02,5.244412801437E+01,1.779939180504E+01
0,0.3540,1.011103386643E+02,5.234567827100E+01,1.774911103723E+01
0,0.3550,1.017676752081E+02,5.224778317407E+01,1.769911354135E+01
0,0.3560,1.024213064457E+02,5.215043804959E+01,1.764939693028E+01
0,0.3570,1.030712638279E+02,5.205363827595E+01,1.759995884364E+01
0,0.3580,1.037175784438E+02,5.195737928317E+01,1.755079694743E+01
0,0.3590,1.043602810263E+02,5.186165655219E+01,1.750190893365E+01
0,0.3600,1.049994019572E+02,5.176646561415E+01,1.745329251994E+01
0,0.3610,1.062154295399E+02,5.023937503926E+01,1.740494544925E+01
0,0.3620,1.074247008244E+02,4.872072142888E+01,1.735686548945E+01
0,0.3630,1.086272731012E+02,4.721043505601E+01,1.730905043300E+01
0,0.3640,1.098232029588E+02,4.570844695992E+01,1.726149809665E+01
0,0.3650,1.110125462970E+02,4.421468893559E+01,1.721420632104E+01
0,0.3660,1.121953583410E+02,4.272909352342E+01,1.716717297044E+01
0,0.3670,1.133716936543E+02,4.125159399904E+01,1.712039593237E+01
0,0.3680,1.145416061512E+02,3.978212436339E+01,1.707387311734E+01
0,0.3690,1.157051491088E+02,3.832061933281E+01,1.702760245848E+01
0,0.3700,1.168623751788E+02,3.686701432942E+01,1.698158191130E+01
0,0.3710,1.160802334501E+02,3.469300566511E+01,1.693580945331E+01
0,0.3720,1.153022844284E+02,3.253068521943E+01,1.689028308382E+01
0,0.3730,1.145284942608E+02,3.037995898525E+01,1.684500082354E+01
0,0.3740,1.137588294547E+02,2.824073396088E+01,1.679996071438E+01
0,0.3750,1.129932568726E+02,2.611291813664E+01,1.675516081915E+01
0,0.3760,1.122317437279E+02,2.399642048168E+01,1.671059922122E+01
0,0.3770,1.114742575797E+02,2.189115093098E+01,1.666627402435E+01
0,0.3780,1.107207663287E+02,1.979702037262E+01,1.662218335233E+01
0,0.3790,1.099712382121E+02,1.771394063515E+01,1.657832534876E+01
0,0.3800,1.092256417997E+02,1.564182447524E+01,1.653469817679E+01
0,0.3810,1.079851869552E+02,1.477455568688E+01,1.649130001884E+01
0,0.3820,1.067511887162E+02,1.391182757281E+01,1.644812907639E+01
0,0.3830,1.055235955982E+02,1.305360456638E+01,1.640518356966E+01
0,0.3840,1.043023566235E+02,1.219985147144E+01,1.636246173745E+01
0,0.3850,1.030874213143E+02,1.135053345752E+01,1.631996183683E+01
0,0.3860,1.018787396846E+02,1.050561605506E+01,1.627768214295E+01
0,0.3870,1.006762622321E+02,9.665065150811E+00,1.623562094878E+01
0,0.3880,9.947993993178E+01,8.828846983181E+00,1.619377656490E+01
0,0.3890,9.828972422732E+01,7.996928137750E+00,1.615214731923E+01
0,0.3900,9.710556702421E+01,7.169275542807E+00,1.611073155687E+01
0,0.3910,9.617050830958E+01,6.911503837898E+00,1.606952763985E+01
0,0.3920,9.524019070682E+01,6.655047294747E+00,1.602853394689E+01
0,0.3930,9.431457746448E+01,6.399895873954E+00,1.598774887323E+01
0,0.3940,9.339363219034E+01,6.146039638038E+00,1.594717083041E+01
0,0.3950,9.247731884641E+01,5.893468750152E+00,1.590679824602E+01
0,0.3960,9.156560174375E+01,5.642173472811E+00,1.586662956358E+01
0,0.3970,9.065844553803E+01,5.392144166640E+00,1.582666324227E+01
0,0.3980,8.975581522427E+01,5.143371289143E+00,1.578689775673E+01
0,0.3990,8.885767613252E+01,4.895845393489E+00,1.574733159694E+01
0,0.4000,8.796399392284E+01,4.649557127313E+00,1.570796326795E+01
0,0.4010,8.729928008310E+01,4.529847561859E+00,1.566879128972E+01
0,0.4020,8.663785383411E+01,4.410733566383E+00,1.562981419696E+01
0,0.4030,8.597969044901E+01,4.292210707361E+00,1.559103053891E+01
0,0.4040,8.532476544129E+01,4.174274595166E+00,1.555243887916E+01
0,0.4050,8.467305456197E+01,4.056920883525E+00,1.551403779551E+01
0,0.4060,8.402453379639E+01,3.940145268985E+00,1.547582587975E+01
0,0.4070,8.337917936142E+01,3.823943490389E+00,1.543780173754E+01
0,0.4080,8.273696770250E+01,3.708311328355E+00,1.539996398819E+01
0,0.4090,8.209787549049E+01,3.593244604766E+00,1.536231126450E+01
0,0.4100,8.146187961923E+01,3.478739182268E+00,1.532484221263E+01
0,0.4110,8.093929841352E+01,3.392308563657E+00,1.528755549192E+01
0,0.4120,8.041923928627E+01,3.306297511157E+00,1.525044977471E+01
0,0.4130,7.990168377139E+01,3.220702977070E+00,1.521352374620E+01
0,0.4140,7.938661357918E+01,3.135521943148E+00,1.517677610430E+01
0,0.4150,7.887401059453E+01,3.050751420233E+00,1.514020555947E+01
0,0.4160,7.836385687441E+01,2.966388447909E+00,1.510381083457E+01
0,0.4170,7.785613464615E+01,2.882430094157E+00,1.506759066470E+01
0,0.4180,7.735082630482E+01,2.798873455016E+00,1.503154379708E+01
0,0.4190,7.684791441206E+01,2.715715654249E+00,1.499566899088E+01
0,0.4200,7.634738169325E+01,2.632953843009E+00,1.495996501709E+01
0,0.4210,7.591056987708E+01,2.569986959374E+00,1.492443065838E+01
0,0.4220,7.547581605765E+01,2.507318496988E+00,1.488906470896E+01
0,0.4230,7.504310554058E+01,2.444946339389E+00,1.485386597442E+01
0,0.4240,7.461242376931E+01,2.382868390081E+00,1.481883327165E+01
0,0.4250,7.418375632329E+01,2.321082572299E+00,1.478396542866E+01
0,0.4260,7.375708891633E+01,2.259586828779E+00,1.474926128446E+01
0,0.4270,7.333240739489E+01,2.198379121528E+00,1.471471968895E+01
0,0.4280,7.290969773673E+01,2.137457431601E+00,1.468033950276E+01
0,0.4290,7.248894604936E+01,2.076819758877E+00,1.464611959716E+01
0,0.4300,7.207013856837E+01,2.016464121839E+00,1.461205885391E+01
0,0.4310,7.170151622048E+01,1.966593266679E+00,1.457815616515E+01
0,0.4320,7.133459035467E+01,1.916953295107E+00,1.454441043329E+01
0,0.4330,7.096934915146E+01,1.867542607469E+00,1.451082057085E+01
0,0.4340,7.060578089958E+01,1.818359618852E+00,1.447738550041E+01
0,0.4350,7.024387399513E+01,1.769402758918E+00,1.444410415444E+01
0,0.4360,6.988361693990E+01,1.720670471737E+00,1.441097547518E+01
0,0.4370,6.952499834042E+01,1.672161215618E+00,1.437799841460E+01
0,0.4380,6.916800690691E+01,1.623873462951E+00,1.434517193420E+01
0,0.4390,6.881263145174E+01,1.575805700047E+00,1.431249500496E+01
0,0.4400,6.845886088827E+01,1.527956426973E+00,1.427996660723E+01
0,0.4410,6.812955634482E+01,1.495002020225E+00,1.424758573057E+01
0,0.4420,6.780173265173E+01,1.462196728440E+00,1.421535137371E+01
0,0.4430,6.747537972754E+01,1.429539541810E+00,1.418326254442E+01
0,0.4440,6.715048758166E+01,1.397029459624E+00,1.415131825941E+01
0,0.4450,6.682704631251E+01,1.364665490167E+00,1.411951754422E+01
0,0.4460,6.650504610720E+01,1.332446650618E+00,1.408785943314E+01
0,0.4470,6.618447724017E+01,1.300371966950E+00,1.405634296908E+01
0,0.4480,6.586533007209E+01,1.268440473834E+00,1.402496720353E+01
0,0.4490,6.554759504964E+01,1.236651214541E+00,1.399373119639E+01
0,0.4500,6.523126270338E+01,1.205003240845E+00,1.396263401595E+01
0,0.4510,6.494009329735E+01,1.181543941427E+00,1.393167473876E+01
0,0.4520,6.465020409061E+01,1.158188444218E+00,1.390085244951E+01
0,0.4530,6.436158656487E+01,1.134936061787E+00,1.387016624101E+01
0,0.4540,6.407423227704E+01,1.111786112760E+00,1.383961521405E+01
0,0.4550,6.378813285778E+01,1.088737921749E+00,1.380919847732E+01
0,0.4560,6.350328001098E+01,1.065790819296E+00,1.377891514732E+01
0,0.4570,6.321966551282E+01,1.042944141799E+00,1.374876434831E+01
0,0.4580,6.293728121125E+01,1.020197231453E+00,1.371874521218E+01
0,0.4590,6.265611902480E+01,9.975494361844E-01,1.368885687839E+01
0,0.4600,6.237617094212E+01,9.750001095908E-01,1.365909849387E+01
0,0.4610,6.211658491581E+01,9.602165502576E-01,1.362946921297E+01
0,0.4620,6.185811536321E+01,9.454969890167E-01,1.359996819736E+01
0,0.4630,6.160075502001E+01,9.308410111938E-01,1.357059461594E+01
0,0.4640,6.134449668382E+01,9.162482056890E-01,1.354134764478E+01
0,0.4650,6.108933321474E+01,9.017181649391E-01,1.351222646705E+01
0,0.4660,6.083525753333E+01,8.872504848791E-01,1.348323027292E+01
0,0.4670,6.058226262125E+01,8.728447649050E-01,1.345435825949E+01
0,0.4680,6.033034151954E+01,8.585006078367E-01,1.342560963073E+01
0,0.4690,6.007948732866E+01,8.442176198818E-01,1.339698359740E+01
0,0.4700,5.982969320753E+01,8.299954105990E-01,1.336847937698E+01
0,0.4710,5.959702770857E+01,8.187857561508E-01,1.334009619359E+01
0,0.4720,5.936534158089E+01,8.076236002383E-01,1.331183327792E+01
0,0.4730,5.913462859000E+01,7.965086416024E-01,1.328368986719E+01
0,0.4740,5.890488255369E+01,7.854405815261E-01,1.325566520502E+01
0,0.4750,5.867609734176E+01,7.744191238081E-01,1.322775854143E+01
0,0.4760,5.844826687562E+01,7.634439747359E-01,1.319996913273E+01
0,0.4770,5.822138512736E+01,7.525148430602E-01,1.317229624147E+01
0,0.4780,5.799544611935E+01,7.416314399690E-01,1.314473913636E+01
0,0.4790,5.777044392410E+01,7.307934790619E-01,1.311729709223E+01
0,0.4800,5.754637266321E+01,7.200006763252E-01,1.308996938996E+01
0,0.4810,5.733503571165E+01,7.108320372249E-01,1.306275531638E+01
0,0.4820,5.712456975936E+01,7.017014422703E-01,1.303565416427E+01
0,0.4830,5.691496937845E+01,6.926086551623E-01,1.300866523226E+01
0,0.4840,5.670622918565E+01,6.835534415547E-01,1.298178782475E+01
0,0.4850,5.649834384227E+01,6.745355690342E-01,1.295502125192E+01
0,0.4860,5.629130805323E+01,6.655548071001E-01,1.292836482959E+01
0,0.4870,5.608511656710E+01,6.566109271453E-01,1.290181787922E+01
0,0.4880,5.587976417524E+01,6.477037024362E-01,1.287537972783E+01
0,0.4890,5.567524571164E+01,6.388329080940E-01,1.284904970793E+01
0,0.4900,5.547155605252E+01,6.299983210756E-01,1.282282715751E+01
0,0.4910,5.528540518968E+01,6.223603818808E-01,1.279671141992E+01
0,0.4920,5.510000599987E+01,6.147534912194E-01,1.277070184386E+01
0,0.4930,5.491535389756E+01,6.071774601550E-01,1.274479778333E+01
0,0.4940,5.473144433399E+01,5.996321012811E-01,1.271899859753E+01
0,0.4950,5.454827279718E+01,5.921172287057E-01,1.269330365087E+01
0,0.4960,5.436583481149E+01,5.846326580358E-01,1.266771231286E+01
0,0.4970,5.418412593760E+01,5.771782063626E-01,1.264222395811E+01
0,0.4980,5.400314177118E+01,5.697536922463E-01,1.261683796622E+01
0,0.4990,5.382287794385E+01,5.623589357017E-01,1.259155372180E+01
0,0.5000,5.364333012175E+01,5.549937581832E-01,1.256637061436E+01
0,0.5010,5.346827537076E+01,5.478686762100E-01,1.254128803828E+01
0,0.5020,5.329391320566E+01,5.407719810176E-01,1.251630539279E+01
0,0.5030,5.312023948529E+01,5.337035033011E-01,1.249142208187E+01
0,0.5040,5.294725010126E+01,5.266630750993E-01,1.246663751425E+01
0,0.5050,5.277494097787E+01,5.196505297815E-01,1.244195110333E+01
0,0.5060,5.260330807142E+01,5.126657020341E-01,1.241736226715E+01
0,0.5070,5.243234737024E+01,5.057084278479E-01,1.239287042836E+01
0,0.5080,5.226205489414E+01,4.987785445049E-01,1.236847501413E+01
0,0.5090,5.209242669440E+01,4.918758905661E-01,1.234417545615E+01
0,0.5100,5.192345885296E+01,4.850003058583E-01,1.231997119055E+01
0,0.5110,5.176132815263E+01,4.804214475246E-01,1.229586165789E+01
0,0.5120,5.159982627013E+01,4.758604753562E-01,1.227184630309E+01
0,0.5130,5.143894951985E+01,4.713172847558E-01,1.224792457540E+01
0,0.5140,5.127869424479E+01,4.667917719397E-01,1.222409592836E+01
0,0.5150,5.111905681604E+01,4.622838339308E-01,1.220035981977E+01
0,0.5160,5.096003363342E+01,4.577933685497E-01,1.217671571159E+01
0,0.5170,5.080162112407E+01,4.533202744081E-01,1.215316306998E+01
0,0.5180,5.064381574280E+01,4.488644509002E-01,1.212970136521E+01
0,0.5190,5.048661397198E+01,4.444257981958E-01,1.210633007164E+01
0,0.5200,5.033001232079E+01,4.400042172326E-01,1.208304866765E+01
0,0.5210,5.018128380612E+01,4.351714847982E-01,1.205985663566E+01
0,0.5220,5.003312103674E+01,4.303572685800E-01,1.203675346203E+01
0,0.5230,4.988552076144E+01,4.255614623665E-01,1.201373863705E+01
0,0.5240,4.973847975362E+01,4.207839607569E-01,1.199081165492E+01
0,0.5250,4.959199481115E+01,4.160246591534E-01,1.196797201368E+01
0,0.5260,4.944606275637E+01,4.112834537537E-01,1.194521921517E+01
0,0.5270,4.930068043582E+01,4.065602415434E-01,1.192255276505E+01
0,0.5280,4.915584471970E+01,4.018549202884E-01,1.189997217269E+01
0,0.5290,4.901155250199E+01,3.971673885278E-01,1.187747695119E+01
0,0.5300,4.886780070024E+01,3.924975455662E-01,1.185506661732E+01
0,0.5310,4.872815696509E+01,3.884298288572E-01,1.183274069149E+01
0,0.5320,4.858903432498E+01,3.843774043163E-01,1.181049869771E+01
0,0.5330,4.845042984192E+01,3.803401858712E-01,1.178834016356E+01
0,0.5340,4.831234059969E+01,3.763180880945E-01,1.176626462019E+01
0,0.5350,4.817476370395E+01,3.723110261973E-01,1.174427160220E+01
0,0.5360,4.803769628170E+01,3.683189160236E-01,1.172236064772E+01
0,0.5370,4.790113548176E+01,3.643416740442E-01,1.170053129829E+01
0,0.5380,4.776507847386E+01,3.603792173510E-01,1.167878309885E+01
0,0.5390,4.762952244870E+01,3.564314636510E-01,1.165711559774E+01
0,0.5400,4.749446461811E+01,3.524983312611E-01,1.163552834663E+01
0,0.5410,4.736457645957E+01,3.491441805176E-01,1.161402090052E+01
0,0.5420,4.723516399263E+01,3.458024067141E-01,1.159259281767E+01
0,0.5430,4.710622458537E+01,3.424729414697E-01,1.157124365963E+01
0,0.5440,4.697775562480E+01,3.391557169064E-01,1.154997299114E+01
0,0.5450,4.684975451758E+01,3.358506656442E-01,1.152878038015E+01
0,0.5460,4.672221868903E+01,3.325577207969E-01,1.150766539776E+01
0,0.5470,4.659514558332E+01,3.292768159674E-01,1.148662761824E+01
0,0.5480,4.646853266351E+01,3.260078852430E-01,1.146566661894E+01
0,0.5490,4.634237741090E+01,3.227508631916E-01,1.144478198029E+01
0,0.5500,4.621667732523E+01,3.195056848567E-01,1.142397328578E+01
0,0.5510,4.609487293781E+01,3.164057036630E-01,1.140324012192E+01
0,0.5520,4.597350648765E+01,3.133169542852E-01,1.138258207822E+01
0,0.5530,4.585257559584E+01,3.102393757912E-01,1.136199874716E+01
0,0.5540,4.573207790062E+01,3.071729076889E-01,1.134148972415E+01
0,0.5550,4.561201105733E+01,3.041174899221E-01,1.132105460753E+01
0,0.5560,4.549237273815E+01,3.010730628667E-01,1.130069299852E+01
0,0.5570,4.537316063178E+01,2.980395673267E-01,1.128040450122E+01
0,0.5580,4.525437244383E+01,2.950169445307E-01,1.126018872254E+01
0,0.5590,4.513600589618E+01,2.920051361274E-01,1.124004527224E+01
0,0.5600,4.501805872687E+01,2.890040841827E-01,1.121997376282E+01
0,0.5610,4.490278374207E+01,2.866666896486E-01,1.119997380959E+01
0,0.5620,4.478791576085E+01,2.843376132444E-01,1.118004503057E+01
0,0.5630,4.467345261171E+01,2.820168106464E-01,1.116018704650E+01
0,0.5640,4.455939213862E+01,2.797042378447E-01,1.114039948081E+01
0,0.5650,4.444573220118E+01,2.773998511415E-01,1.112068195961E+01
0,0.5660,4.433247067367E+01,2.751036071475E-01,1.110103411162E+01
0,0.5670,4.421960544561E+01,2.728154627795E-01,1.108145556822E+01
0,0.5680,4.410713442127E+01,2.705353752579E-01,1.106194596334E+01
0,0.5690,4.399505551984E+01,2.682633021037E-01,1.104250493353E+01
0,0.5700,4.388336667475E+01,2.659992011361E-01,1.102313211786E+01
0,0.5710,4.377539009941E+01,2.637650381238E-01,1.100382715793E+01
0,0.5720,4.366778805314E+01,2.615386868703E-01,1.098458969787E+01
0,0.5730,4.356055857326E+01,2.593201064764E-01,1.096541938426E+01
0,0.5740,4.345369971051E+01,2.571092563277E-01,1.094631586617E+01
0,0.5750,4.334720952951E+01,2.549060960926E-01,1.092727879509E+01
0,0.5760,4.324108610823E+01,2.527105857194E-01,1.090830782496E+01
0,0.5770,4.313532753779E+01,2.505226854341E-01,1.088940261210E+01
0,0.5780,4.302993192290E+01,2.483423557381E-01,1.087056281519E+01
0,0.5790,4.292489738099E+01,2.461695574055E-01,1.085178809530E+01
0,0.5800,4.282022204258E+01,2.440042514809E-01,1.083307811583E+01
0,0.5810,4.271808268730E+01,2.420237559709E-01,1.081443254248E+01
0,0.5820,4.261629146950E+01,2.400500662874E-01,1.079585104326E+01
0,0.5830,4.251484659634E+01,2.380831474090E-01,1.077733328847E+01
0,0.5840,4.241374628732E+01,2.361229645541E-01,1.075887895065E+01
0,0.5850,4.231298877405E+01,2.341694831791E-01,1.074048770458E+01
0,0.5860,4.221257230003E+01,2.322226689760E-01,1.072215922727E+01
0,0.5870,4.211249512117E+01,2.302824878708E-01,1.070389319792E+01
0,0.5880,4.201275550476E+01,2.283489060209E-01,1.068568929792E+01
0,0.5890,4.191335173029E+01,2.264218898141E-01,1.066754721083E+01
0,0.5900,4.181428208866E+01,2.245014058655E-01,1.064946662234E+01
0,0.5910,4.171768724897E+01,2.229021118543E-01,1.063144722027E+01
0,0.5920,4.162141603999E+01,2.213082208635E-01,1.061348869456E+01
0,0.5930,4.152546682327E+01,2.197197055589E-01,1.059559073723E+01
0,0.5940,4.142983797178E+01,2.181365387908E-01,1.057775304239E+01
0,0.5950,4.133452786908E+01,2.165586935916E-01,1.055997530618E+01
0,0.5960,4.123953490978E+01,2.149861431749E-01,1.054225722681E+01
0,0.5970,4.114485749934E+01,2.134188609339E-01,1.052459850449E+01
0,0.5980,4.105049405363E+01,2.118568204394E-01,1.050699884144E+01
0,0.5990,4.095644299934E+01,2.102999954392E-01,1.048945794187E+01
0,0.6000,4.086270277334E+01,2.087483598555E-01,1.047197551197E+01
0,0.6010,4.077032547538E+01,2.068453875867E-01,1.045455125987E+01
0,0.6020,4.067825246940E+01,2.049487374849E-01,1.043718489565E+01
0,0.6030,4.058648224050E+01,2.030583780965E-01,1.041987613131E+01
0,0.6040,4.049501328430E+01,2.011742781763E-01,1.040262468076E+01
0,0.6050,4.040384410593E+01,1.992964066856E-01,1.038543025980E+01
0,0.6060,4.031297322071E+01,1.974247327905E-01,1.036829258610E+01
0,0.6070,4.022239915344E+01,1.955592258606E-01,1.035121137921E+01
0,0.6080,4.013212043892E+01,1.936998554665E-01,1.033418636049E+01
0,0.6090,4.004213562138E+01,1.918465913792E-01,1.031721725317E+01
0,0.6100,3.995244325464E+01,1.899994035676E-01,1.030030378226E+01
0,0.6110,3.986511529590E+01,1.885788551254E-01,1.028344567460E+01
0,0.6120,3.977807026374E+01,1.871629489983E-01,1.026664265879E+01
0,0.6130,3.969130677332E+01,1.857516624670E-01,1.024989446522E+01
0,0.6140,3.960482344853E+01,1.843449729604E-01,1.023320082603E+01
0,0.6150,3.951861892228E+01,1.829428580537E-01,1.021656147509E+01
0,0.6160,3.943269183639E+01,1.815452954681E-01,1.019997614802E+01
0,0.6170,3.934704084139E+01,1.801522630692E-01,1.018344458214E+01
0,0.6180,3.926166459669E+01,1.787637388658E-01,1.016696651647E+01
0,0.6190,3.917656177004E+01,1.773797010088E-01,1.015054169173E+01
0,0.6200,3.909173103846E+01,1.760001277900E-01,1.013416985029E+01
0,0.6210,3.900819137292E+01,1.747828361126E-01,1.011785073620E+01
0,0.6220,3.892491795730E+01,1.735694585564E-01,1.010158409514E+01
0,0.6230,3.884190950888E+01,1.723599762732E-01,1.008536967445E+01
0,0.6240,3.875916475388E+01,1.711543705359E-01,1.006920722304E+01
0,0.6250,3.867668242606E+01,1.699526227368E-01,1.005309649149E+01
0,0.6260,3.859446126762E+01,1.687547143877E-01,1.003703723192E+01
0,0.6270,3.851250002868E+01,1.675606271177E-01,1.002102919805E+01
0,0.6280,3.843079746721E+01,1.663703426735E-01,1.000507214519E+01
0,0.6290,3.834935234953E+01,1.651838429175E-01,9.989165830174E+00
0,0.6300,3.826816344920E+01,1.640011098274E-01,9.973310011396E+00
0,0.6310,3.818823394527E+01,1.627335037055E-01,9.957504448779E+00
0,0.6320,3.810855510731E+01,1.614699089954E-01,9.941748903765E+00
0,0.6330,3.802912574746E+01,1.602103066856E-01,9.926043139304E+00
0,0.6340,3.794994468501E+01,1.589546778847E-01,9.910386919842E+00
0,0.6350,3.787101074677E+01,1.577030038202E-01,9.894780011306E+00
0,0.6360,3.779232276698E+01,1.564552658376E-01,9.879222181100E+00
0,0.6370,3.771387958735E+01,1.552114453998E-01,9.863713198084E+00
0,0.6380,3.763568005644E+01,1.539715240855E-01,9.848252832570E+00
0,0.6390,3.755772303035E+01,1.527354835892E-01,9.832840856306E+00
0,0.6400,3.748000737236E+01,1.515033057194E-01,9.817477042468E+00
0,0.6410,3.740352095775E+01,1.502857547756E-01,9.802161165647E+00
0,0.6420,3.732727063327E+01,1.490719968254E-01,9.786893001837E+00
0,0.6430,3.725125529741E+01,1.478620141721E-01,9.771672328429E+00
0,0.6440,3.717547385550E+01,1.466557892289E-01,9.756498924192E+00
0,0.6450,3.709992521986E+01,1.454533045181E-01,9.741372569271E+00
0,0.6460,3.702460830927E+01,1.442545426701E-01,9.726293045170E+00
0,0.6470,3.694952204934E+01,1.430594864230E-01,9.711260134744E+00
0,0.6480,3.687466537223E+01,1.418681186210E-01,9.696273622191E+00
0,0.6490,3.680003721690E+01,1.406804222144E-01,9.681333293035E+00
0,0.6500,3.672563652862E+01,1.394963802583E-01,9.666438934122E+00
0,0.6510,3.665243634572E+01,1.383816067262E-01,9.651590333609E+00
0,0.6520,3.657945860659E+01,1.372702527448E-01,9.636787280950E+00
0,0.6530,3.650670228965E+01,1.361623026040E-01,9.622029566891E+00
0,0.6540,3.643416637930E+01,1.350577406900E-01,9.607316983455E+00
0,0.6550,3.636184986631E+01,1.339565514841E-01,9.592649323938E+00
0,0.6560,3.628975174731E+01,1.328587195624E-01,9.578026382896E+00
0,0.6570,3.621787102545E+01,1.317642295948E-01,9.563447956133E+00
0,0.6580,3.614620670966E+01,1.306730663444E-01,9.548913840698E+00
0,0.6590,3.607475781509E+01,1.295852146669E-01,9.534423834870E+00
0,0.6600,3.600352336264E+01,1.285006595096E-01,9.519977738151E+00
0,0.6610,3.593346199858E+01,1.275885851522E-01,9.505575351255E+00
0,0.6620,3.586361029140E+01,1.266792663065E-01,9.491216476102E+00
0,0.6630,3.579396729226E+01,1.257726905041E-01,9.476900915806E+00
0,0.6640,3.572453205886E+01,1.248688453517E-01,9.462628474668E+00
0,0.6650,3.565530365420E+01,1.239677185306E-01,9.448398958165E+00
0,0.6660,3.558628114671E+01,1.230692977960E-01,9.434212172942E+00
0,0.6670,3.551746361078E+01,1.221735709767E-01,9.420067926806E+00
0,0.6680,3.544885012619E+01,1.212805259742E-01,9.405966028712E+00
0,0.6690,3.538043977816E+01,1.203901507625E-01,9.391906288759E+00
0,0.6700,3.531223165747E+01,1.195024333871E-01,9.377888518178E+00
0,0.6710,3.524422486027E+01,1.185396414913E-01,9.363912529329E+00
0,0.6720,3.517641848816E+01,1.175797150475E-01,9.349978135684E+00
0,0.6730,3.510881164806E+01,1.166226412826E-01,9.336085151827E+00
0,0.6740,3.504140345195E+01,1.156684074991E-01,9.322233393442E+00
